"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"03.06.2025","3,722","3,748","3,764","3,630","139,41K","0,76%"
"04.06.2025","3,716","3,729","3,740","3,661","126,09K","-0,16%"
"05.06.2025","3,677","3,703","3,791","3,620","208,76K","-1,05%"
"06.06.2025","3,784","3,653","3,817","3,649","180,63K","2,91%"
"09.06.2025","3,635","3,719","3,769","3,581","215,68K","-3,94%"
"10.06.2025","3,533","3,612","3,662","3,515","179,31K","-2,81%"
"11.06.2025","3,507","3,526","3,626","3,453","211,74K","-0,74%"
"12.06.2025","3,492","3,519","3,644","3,466","220,85K","-0,43%"
"13.06.2025","3,581","3,541","3,623","3,499","133,29K","2,55%"
"16.06.2025","3,844","3,773","3,855","3,732","85,97K","7,34%"
"17.06.2025","3,949","3,836","3,975","3,818","86,01K","2,73%"
"18.06.2025","4,077","3,963","4,092","3,918","171,19K","3,24%"
"19.06.2025","4,086","4,083","4,102","3,966","36,51K","0,22%"
"20.06.2025","3,949","4,077","4,230","3,918","150,78K","-3,35%"
"23.06.2025","3,698","3,949","3,949","3,666","102,70K","-6,36%"
"24.06.2025","3,537","3,681","3,684","3,530","70,98K","-4,35%"
"25.06.2025","3,406","3,549","3,587","3,372","74,50K","-3,70%"
"26.06.2025","3,261","3,394","3,425","3,199","5,53K","-4,26%"
"27.06.2025","3,739","3,530","3,751","3,513","153,06K","14,66%"
"30.06.2025","3,456","3,735","3,738","3,421","212,92K","-7,57%"
"01.07.2025","3,415","3,453","3,468","3,293","177,01K","-1,19%"
